Company_name
Accenture India Private Limited
ION Trading India Private Limited
Addverb Technologies Private Limited
JPMorgan Chase & Co.
Advantage Club (Work Advantage)
JSW Group
Airbnb
Jubilant FoodWorks Limited
Amadeus Software Labs India Pvt Ltd
"Juniper Networks, Inc."
"AMD (Advanced Micro Devices, Inc.)"
Landis + Gyr Limited
Codekaze
Larsen & Toubro Limited
American Express
LG Electronics India Pvt. Ltd
Anand Automotive Private Limited
Make My Trip India Private Limited (Go-MMT)
Apple
MAQ Software
Arcesium India Private Ltd
Maruti Suzuki India Limited
Asian Paints Limited
McDermott International
Atlan
McKinsey & Company
Attentive AI Solutions Pvt Ltd
MG Motor India
Axis Bank
MSB Digital Pvt. Ltd
Axxela
Mylo
Bain & Company
Nation with NaMo
Barclays
NatWest (Royal Bank Of Scotland)
Barco Electronic Systems Pvt. Ltd.
Naukri.Com
BlackRock
Nestle India
"Blue Yonder, Inc.(JDA Software)"
NXP Semiconductors
Bosch
Observe.AI
CaaStle (Gwynnie Bee)
Open Futures Group
Celigo
Optum
"Cisco Systems, Inc."
Oracle India Private Limited
"Cloudera, Inc."
Paytm
D. E. Shaw India Private Limited
Pidilite Industries Ltd.
Dell Technologies
ProcDNA
Deloitte Consulting India Pvt. Ltd.
Providence Global Innovation Center
ElectricPe
Reliance Industries Ltd.
Engineers India Ltd.
"Salesforce, Inc."
Ericsson India Global Services Private Ltd.
EXL Service
Expedia Group
Schlumberger Limited
EY Global Delivery Services
Shell India Markets Private Limited
Fastenal Company
Siemens EDA (India) Private Limited
Fractal Analytics
Signify (Philips Lighting)
Futures First Info Services Pvt Ltd
STMicroelectronics
Gameskraft
Stryker Global Technology Center
GEP Worldwide
Synopsys
Havells India Ltd.
Tata Consultancy Services Limited
Hero MotoCorp Ltd.
Tata Motors Limited
Honda Motorcycle & Scooter India Pvt. Ltd.
Tata Technologies
Honeywell International Inc.
Texas Instruments
Housing.com
Tredence
naukri.com
HSBC Software Development (India) Private Ltd.
Western Digital Corporation
Incedo Inc.
Infinera
Kreative Kode 
ZS Associates India Pvt Ltd.
Intel Technology India Pvt. Ltd.
Zscaler Inc
Intuit Inc
Zynga Gaming Network
Goldman Sachs
