Company_name
mg
rdTech Inc.
AB InBev
Aboota
Accenture India Private Limited
Accolite Software India Private Limited 
Adda (Metis Eduventures Pvt Ltd)
Addverb Technologies Private Limited
Adobe Systems
Advantage Club (Work Advantage)
Afford Medical Technologies Pvt. Ltd.
Aganitha Cognitive Solutions
Airbnb
Aizant Drug Research Solutions
Alpha Net
Alstom Projects India Ltd.
Amadeus Software Labs India Pvt Ltd
Amazon India
AMD (Advanced Micro Devices Inc.)
Amdocs Development Center India LLP
American Express
ANAND Automotive Private Limited
Anarock
Anetcorp India Pvt. Ltd.
Anmol India Limited
Apple
Arcesium India Private Ltd
AscentX Software Development Services
Asian Paints Limited
Atlan
Attentive AI Solutions Pvt Ltd
Autoninja
Axis Bank
Axtria
Axxela
Azcom Infosolutions (India) Pvt. Ltd.    
B&S Engineering Consultants Pvt. Ltd.
Bain & Company
Bajaj Auto Limited
Bank of America
Barclays
Barco Electronic Systems Pvt. Ltd.
Bechtel India Private Limited
Bharat Electronics Limited
BirdEye India Pvt. Ltd.
BITCS
BlackNGreen Mobile Solutions Pvt. Ltd.
BlackRock
Blue Yonder Inc.(JDA Software)
Bluecore
Bluecraft Agro Pvt. Ltd.
BlueOptima
Blume Global
Boldrocchi India Pvt Ltd
BootcampX
Bosch
BrightChamps
Bristlecone
CaaStle (Gwynnie Bee)
Cadence Design Systems India Limited
Capgemini Technology Services India Limited
CashKaro.com
Celebal Technologies
Celigo
Chai Point (Mountain Trail Foods Pvt Ltd)
Chegg India Pvt. Ltd.
Ciena
Cisco Systems
Clairvolex
Click Labs Private Limited
CloudEQ
Cloudera Inc.
Clover Bay Technologies Pvt. Ltd.
Clues Network Pvt. Ltd.
Clutterbot
CNH Industrial (India) Pvt. Ltd
Code Brew Labs
Codfirm
Coding Ninjas
Cognizant Technology Solutions
Collegedunia
Comviva Technologies Ltd.
Continental Device India Ltd
Convene India Private Limited
Convrse.ai
Credilinq.ai
Cubastion Consulting Pvt. Ltd.
Cuvette
D. E. Shaw India Private Limited
Dabur India Limited
Daimler India Commercial Vehicles
